Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,0.88,B081Q9CFGC,2025-02-19,,3.88,5.97,3.88,9.915014164305951,1,fba,26705,10,432,2.0,0.7000000000000002,3,8,1.032,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-19,,3.87,5.99,3.87,9.631728045325788,1,fba,26705,10,432,2.0,0.6800000000000006,3,8,1.032,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-20,,3.87,5.99,3.87,9.631728045325788,1,fba,16745,9,432,2.0,0.6800000000000006,11,4,3.815,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-21,,5.2,5.99,5.2,47.308781869688396,4,fba,26225,9,432,2.0,3.3400000000000007,13,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-21,,5.15,5.99,5.15,45.89235127478755,4,fba,26225,9,432,2.0,3.240000000000001,13,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-22,,5.15,3.95,3.95,11.89801699716715,2,fbm,17325,8,432,2.0,0.8400000000000007,13,3,5.526666666666667,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-23,,5.15,4.08,4.08,15.580736543909357,2,fbm,17325,8,432,2.0,1.1000000000000005,16,9,4.639166666666667,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-24,,5.86,4.79,4.79,35.69405099150143,4,fbm,14611,8,432,2.0,2.5200000000000005,27,2,5.86,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-25,,5.86,,5.86,66.00566572237963,5,fba,21462,8,432,2.0,4.660000000000001,25,1,5.86,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-26,,5.86,4.7,4.7,33.1444759206799,3,fbm,29903,8,432,2.0,2.3400000000000007,24,1,5.86,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-02-27,,5.86,5.21,5.21,47.59206798866856,4,fbm,31986,8,432,2.0,3.3600000000000003,23,2,2.93,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
