Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Beauty,20,2.01,B003SYNGE2,2025-03-11,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1071,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-12,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1071,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-13,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1072,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-14,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1072,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-15,,7.99,6.99,6.99,15.346534653465357,2,fbm,38562,5,1072,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-16,,7.99,6.99,6.99,15.346534653465357,2,fbm,38562,5,1072,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-17,,7.99,6.99,6.99,15.346534653465357,2,fbm,42333,5,1072,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-18,,7.99,6.99,6.99,15.346534653465357,2,fbm,43190,5,1072,0.06666666666666667,0.06200000000000004,82,1,6.99,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-19,,7.99,6.99,6.99,15.346534653465357,2,fbm,43190,5,1072,0.06666666666666667,0.06200000000000004,81,1,6.99,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-20,,7.99,6.99,6.99,15.346534653465357,2,fbm,43190,5,1071,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
