Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,3.36,B0813VNJF8,2024-11-22,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3589,5.0,523.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-23,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,4483,5.0,523.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-24,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,4503,5.0,523.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-25,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,2789,5.0,523.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-26,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3165,5.0,523.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-27,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3596,5.0,524.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-28,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3596,5.0,524.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-29,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3546,5.0,524.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-30,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3401,5.0,524.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-01,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,3291,5.0,524.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
