ASIN,Adjusted Actual Sales,Estimated Sales (Theory),Adjusted Sales (Full Logic),Estimated Sales (Category Curve),Accuracy - Theory,Accuracy - Full Logic,Accuracy - Category
B00DSYVL7Q,25.556964793352282,109.42845078944858,62.233659221953026,82.33345388301198,-2.2817467439604733,-0.43509586232794173,-1.2215661972672143
B00F4LA0K0,0.0,52.89535663555551,39.17584575803664,54.517972120747125,-inf,-inf,-inf
B00FAQCE08,17.0,15.052649757594654,11.434811977529755,31.154805017476363,0.885449985740862,0.6726359986782209,0.1673644107366845
B00J4S83HQ,4.002724795640328,6.701001687719962,5.549029050840498,5.582916935160835,0.3258899799909969,0.6136870921317479,0.6052208882205404
B00J5H1E9K,58.84057971014492,58.48076758206003,47.00538003675972,48.531939794602046,0.9938849662960942,0.798859907028675,0.8248039029131875
B00LDLBG3A,40.0,53.12249163967665,29.62514653758161,41.61217274472646,0.6719377090080837,0.7406286634395403,0.9596956813818386
B00LXM3PGK,11.0,29.046473460018802,26.432347767891162,40.2366754910113,-0.6405884963653456,-0.4029407061719239,-1.657879590091936
B00M8QBEIG,37.0,46.504755489167735,40.873495411267896,50.80234128959642,0.7431147165089802,0.8953109348305974,0.6269637489298265
B00M9UFVGM,14.0,26.143428254640177,19.127229443670213,18.468953372779733,0.13261226752570165,0.6337693254521276,0.6807890448014476
B00N5SLQ7A,91.0,164.36030930379516,120.56244157205161,243.2546982357975,0.1938427549033499,0.6751380047027296,-0.6731285520417307
B00O5NEUAY,216.94364851957977,726.7865204425793,527.7860921787724,114.94305079566062,-1.3501166104753919,-0.43282573968114213,0.5298290665803322
B00P82UZ6Y,0.0,23.515072825417164,21.47724304345227,17.894098202953302,-inf,-inf,-inf
B00S9IXBVU,0.0,49.68190792918699,45.34398764540814,43.5759692929083,-inf,-inf,-inf
B00TQ5KPNC,10.066159444260668,82.71712834059664,50.74732086367602,39.941666859547865,-6.217347320855198,-3.0413786056816505,-1.9679151796389482
B00VAID1UW,11.0,129.9827573962949,92.17802581869377,6.005519480519481,-9.816614308754081,-6.379820528972161,0.5459563164108618
B00VQTO21M,3.8831312017640576,142.81210344406745,129.20202033399107,84.2800893711014,-34.77756326626041,-31.272638399469024,-19.70415702997983
B00WI8O0RG,184.01273885350318,138.82228432945763,99.97021509013175,102.67726021911236,0.7544167061171634,0.5432787735946931,0.5579899568847574
B00WI9YJVW,88.0,67.42974157360814,53.85195109593793,89.26904478133937,0.7662470633364562,0.6119539897265673,0.9855790365756889
B010E25DI2,159.1078066914498,261.7636304819246,209.84650224575282,63.77997763208511,0.35480335047575406,0.6811049274741237,0.40086013979044144
B011SEA38A,84.0,55.144106477750235,43.363067312089164,67.86338450559623,0.6564774580684551,0.5162269918105853,0.8078974345904313
B014G545T6,47.0,176.0521694913759,141.45197909145,42.90151515151515,-1.7457908402420403,-1.0096165764138298,0.9127981947130883
B016Y8SWZQ,19.206708975521305,19.02388324071377,18.66819722268205,24.567146931062297,0.9904811524431101,0.9719623099654615,0.7209080450808727
B0194LKIR0,7.0,24.804146207735844,22.506877133498577,30.44378541352147,-1.5434494582479776,-1.215268161928368,-2.349112201931639
B01CKK8CU2,12.0,15.371046161743743,14.324763760835468,8.065706570657065,0.7190794865213548,0.8062696865970443,0.6721422142214222
B01CWYES90,134.31760361099714,1629.951663790217,1441.1350069000266,1887.3703941617775,-10.13505616516796,-8.729308505784234,-12.051549040644518
B01FJOSX3W,60.0,80.28352757402568,71.65524143279966,129.5718891914758,0.6619412070995719,0.8057459761200058,-0.1595314865245967
B01G263L1K,305.1871135698015,129.97376916385608,76.26816359908369,109.36684408182946,0.4258822321936895,0.2499062385268107,0.3583599674395014
B01H8QOUTA,371.1094339622642,56203.69741031018,36083.02665603491,228.2326348938192,-149.4477732625498,-95.23015195486508,0.6150008973283788
B01H8QOWA2,110.0,3872.231966433116,2805.8056840263757,288.4191486274612,-33.202108785755605,-23.507324400239778,-0.6219922602496473
B01JH0N5SC,5.0,6.196550098276896,4.503742280763564,5.3708014038636325,0.7606899803446208,0.9007484561527128,0.9258397192272735
B01JM7KWSG,51.0,68.53803620968394,62.303755006688895,433.6005702026024,0.6561169370650208,0.7783577449668844,-6.50197196475691
B01LXHKR4T,10.04192286193404,75.42610893192176,49.96882494275,26.16049761596792,-5.511122119633066,-2.97602158767491,-0.6051283181167055
B01N58L3PP,54.93069306930693,1711.5095011786302,1369.2076009429043,15.260698797152441,-29.157617090670808,-22.92609367253665,0.2778173357087954
B01NBDFDBC,12.626609442060087,224.4827069676349,134.68962418058092,185.88421978748002,-15.778542054200859,-8.667125232520513,-12.721625836329995
B06WW79DX5,4245.0,1701.8964779747546,1165.2691073127191,3543.0855524464127,0.40091789822726853,0.27450391220558745,0.8346491289626414
