Category,BSR Band,Actual Sales Volume,Simulated Sales,Adjusted Actual Sales,Estimated Sales (Theory),Estimated Sales (Category Curve),Adjusted Sales (Full Logic),Final Estimated Sales,Daily Profit,ROI %,Offer Count,Review Count,Error - Theory vs Actual,Error - Full Logic vs Actual,Error - Category vs Actual,Accuracy - Theory,Accuracy - Full Logic,Accuracy - Category
DIY & Tools,"501–1,000",36.91489361702128,13.48936170212766,36.91489361702128,31.960097935672763,36.91489361702128,21.527816861388615,36.91489361702128,3.900212765957443,2.7677205829098326,14.638297872340425,1084.8297872340424,38.92321305122917,38.39933062073856,17.122679945676776,-inf,-inf,-inf
DIY & Tools,"1,001–2,500",12.785365853658536,10.275447154471543,13.8411507191995,50.602088636388174,13.8411507191995,41.15188800124141,13.8411507191995,8.824091056910566,7.363047047044442,12.436548223350254,1055.1969696969697,51.694272780025244,44.94257374800216,11.395610061166279,-inf,-inf,-inf
DIY & Tools,"2,501–5,000",3.6074450084602367,6.649633389734912,14.40108742952363,179.70114345175654,14.40108742952363,152.75177519256866,14.40108742952363,6.342589960518893,-2.791479290502773,9.78974358974359,2164.9229452054797,174.2327038140329,148.21899308493016,22.240256132205612,-inf,-inf,-inf
DIY & Tools,"5,001–10,000",0.6425591098748261,2.1972183588317105,1.8467243042326302,86.98526547051549,1.8467243042326302,71.94191930981422,1.8467243042326302,2.308605470560965,-13.30614060822493,9.41830985915493,2302.3835227272725,85.88847111881887,70.96998625906012,3.200648647904607,-inf,-inf,-inf
DIY & Tools,"10,001–25,000",1.2582857142857142,3.125523809523809,1.273579464859631,9.234399947282785,1.273579464859631,7.468166716035348,1.273579464859631,4.048292952380954,4.895284808874411,9.612268518518519,1062.1232558139534,9.484929554920623,7.932834018596356,1.5431971805230367,-inf,-inf,-inf
DIY & Tools,"25,001–50,000",0.6744186046511628,2.2239341085271316,0.6746638788689509,0.6665725988821545,0.6746638788689509,0.5232404593639104,0.6746638788689509,2.133869186046512,10.34557735388467,9.377581120943953,798.8668639053254,0.8949515480136856,0.8580593371109753,0.8982443503545915,-inf,-inf,-inf
DIY & Tools,"50,000+",0.375,0.7329166666666667,0.37503555687042583,0.3254649080114586,0.37503555687042583,0.2632857030056128,0.37503555687042583,0.6880958333333337,10.258261904937777,8.802521008403362,602.0168776371308,0.5274707901647884,0.5004085763815934,0.546926853769371,-inf,-inf,-inf
Electronics & Photo,"2,501–5,000",0.0,0.7,0.0,69.34656510008061,0.0,48.54259557005643,0.0,11.8475,327.3694390715667,12.0,2463.0,69.34656510008061,48.54259557005643,0.0,-inf,-inf,
Electronics & Photo,"5,001–10,000",0.2191780821917808,0.6908675799086758,4.380163534034193,47.77920551180308,4.380163534034193,33.56031154477406,4.380163534034193,12.830757990867578,354.7254506017911,11.808219178082192,2412.109589041096,44.045154961282094,30.710917726561465,7.440277783838904,-inf,-inf,-inf
Electronics & Photo,"10,001–25,000",0.14482758620689656,0.6724137931034483,2.894306335204491,26.080760772427116,2.894306335204491,18.60653514291828,2.894306335204491,12.269655172413792,339.60322224445486,11.652777777777779,2413.5625,23.543140789368035,17.022926220179826,5.070026269944418,-inf,-inf,-inf
Electronics & Photo,"25,001–50,000",0.029411764705882353,0.2264705882352941,0.5877792977656179,5.034345649669466,0.5877792977656179,4.018706679115676,0.5877792977656179,3.7748627450980385,111.89830490249116,9.5625,2170.28125,4.707944032118867,3.8751412446283204,1.1409833427214935,-inf,-inf,-inf
Electronics & Photo,"50,000+",0.008620689655172414,0.026149425287356295,0.008620689655172414,0.3756966044938515,0.008620689655172414,0.30253145095388867,0.008620689655172414,0.032626436781609154,7.436032941383714,7.852173913043479,2072.7478260869566,0.3780436996000174,0.3061332649698559,0.017092746730083236,-inf,-inf,-inf
Fashion,"5,001–10,000",0.64,1.8053333333333332,2.7989662150884613,10.660552702758011,2.7989662150884613,6.321068505553005,2.7989662150884613,12.691400000000002,84.45049188902307,21.64,5524.48,8.438345309043159,5.121899426530118,3.3587594581061535,-inf,-inf,-inf
Fashion,"10,001–25,000",0.4789915966386555,2.0373482726423906,1.7361166437416975,4.382156548525372,1.7361166437416975,2.418063914602425,1.7361166437416975,9.413780578898225,46.791658657764415,20.665730337078653,5072.335227272727,4.417134101163798,3.0007627922128814,2.7409830630468752,-inf,-inf,-inf
Fashion,"25,001–50,000",0.49390243902439024,2.096544715447154,0.8564786664914278,0.9497439258526107,0.8564786664914278,0.6521102463937211,0.8564786664914278,13.206951219512199,63.37128555372216,12.874213836477987,2784.9748427672957,1.0445588288846603,0.9906861835581809,1.1698245200858526,-inf,-inf,-inf
Fashion,"50,000+",0.25,2.0,0.25,0.4699482585263434,0.25,0.3231928875999698,0.25,24.262142857142862,156.41379694124345,14.84,2900.5,0.5788254956888085,0.4602946773299418,0.4107142857142857,-inf,-inf,-inf
Garden,"1,001–2,500",0.09090909090909091,0.0,0.09090909090909091,7.222041053202113,0.09090909090909091,4.527768811940022,0.09090909090909091,0.0,-78.24829649326908,15.636363636363637,1381.904761904762,7.131131962293022,4.436859721030931,0.17355371900826447,-inf,-inf,-inf
Garden,"2,501–5,000",0.15454545454545454,0.03484848484848485,0.15454545454545454,4.8231623902828105,0.15454545454545454,3.265070618346493,0.15454545454545454,0.005924242424242422,-73.3361167905405,13.871559633027523,1369.4128440366972,4.674792323063481,3.136666116747507,0.27537190082644625,-inf,-inf,-inf
Garden,"5,001–10,000",0.5178571428571429,1.0267857142857142,0.5178571428571429,2.6706115782759605,0.5178571428571429,1.900292277888737,0.5178571428571429,0.4168749999999994,-47.53372615752568,12.89090909090909,1310.9272727272728,2.5591934954807565,1.908123730146166,0.8877551020408163,-inf,-inf,-inf
Garden,"10,001–25,000",0.0,1.5572916666666667,0.0,1.256982368435029,0.0,1.0259557007382112,0.0,0.8583072916666671,-20.935512783023356,9.825396825396826,1075.4126984126983,1.256982368435029,1.0259557007382112,0.0,-inf,-inf,
Garden,"25,001–50,000",0.0,2.738095238095238,0.0,0.6335325586399533,0.0,0.45104745622908093,0.0,1.7887229437229444,4.598440411017815,13.246753246753247,664.012987012987,0.6335325586399533,0.45104745622908093,0.0,-inf,-inf,
Grocery,"501–1,000",0.0,0.0,0.0,99.41759405144616,0.0,79.53407524115693,0.0,0.0,-0.8373205741626829,9.0,394.0,99.41759405144616,79.53407524115693,0.0,-inf,-inf,
Grocery,"1,001–2,500",0.33884297520661155,0.09228650137741046,0.7266999427215448,17.75785101582105,0.7266999427215448,14.492849999422841,0.7266999427215448,0.017462809917355382,-12.449694971351919,7.666666666666667,5791.9,17.031151073099508,13.766150056701296,1.0690296678052478,-inf,-inf,-inf
Grocery,"2,501–5,000",0.16037735849056603,0.10377358490566038,0.16037735849056603,4.97047294020935,0.16037735849056603,4.223227781935819,0.16037735849056603,0.03555974842767292,-16.277547604515412,6.867924528301887,6413.971698113208,4.810095581718785,4.062850423445253,0.27839088643645427,-inf,-inf,-inf
Grocery,"5,001–10,000",6.2,5.023577235772358,6.253588951592632,2.518698403876292,6.253588951592632,2.0231986877149124,6.253588951592632,2.654447154471546,2.8044282090006423,9.381909547738694,785.5786802030457,5.268184864503588,5.679171646336174,4.299866126348734,-inf,-inf,-inf
Grocery,"10,001–25,000",2.702970297029703,2.8013201320132013,2.785811786857744,1.5482885303394995,2.785811786857744,1.3044288169531018,2.785811786857744,1.3957689768976906,2.955535295460428,8.133779264214047,751.0735785953177,2.678992188062194,2.791619337592824,2.8920415935847386,-inf,-inf,-inf
